unknown,auer1995a,"p. auer, n. cesa-bianchi, y. freund, and r. e. schapire,",,"gambling in a rigged casino: the adversarial multi-armed bandit problem,'",,"in proc. 36th annual symposium on foundations of computer science,","los alamitos, ca:","ieee computer society press,","1995,","pp. 322-331.",,,
unknown,drucker1992,"h. drucker, r. schapire, and p. simard.",,"boosting performance in neural networks.",,"intl. j. pat. recog. art. intel.,",,,1993,,,"to appear.",
unknown,drucker1992,"harris drucker, robert schapire, and patrice simard.",7(4),"boosting performance in neural networks.",,"international journal of pattern recognition and artificial intelligence,",,,1993,"705-719,",,,
unknown,druker1992,"h. druker, r. schapire, p. simard,","vol. 5,","improving performance in neural networks using a boosting algorithm,",,"advances in neural information processing systems,",,"morgan kaufmann,","1993,",42-49.,,,
unknown,ehrenfeucht1988,"ehrenfeucht, a., haussler, d., kearns, m., and valiant, l.",,"a general lower bound on the number of examples needed for learning.",,"in proceedings colt-88.",,,(1988).,,,,
unknown,ehrenfeucht1988,"ehrenfeucht, a.; haussler, d.; kearns, m.; and valiant, l.g.",,"a general lower bound on the number of examples needed for learning.",,"in proceedings of the first workshop on computational learning theory,","boston, ma:","morgan kaufmann.",1988,139-154.,,,
unknown,ehrenfeucht1988,"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.",,"a general lower bound on the number of examples needed for learning.","university of california, computer research laboratory,","technical report ucsc-crl-87-26,","santa cruz, ca,",,1988,,,,jan-uary
unknown,ehrenfeucht1988,"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.",,"a general lower bound on the number of examples needed for learning.",,"in colt 88: proceedings of the conference on learning,","los altos, ca, 1988.",morgan-kaufmann.,,"pages 110-120,",,,
unknown,ehrenfeucht1988,"a. ehrenfeucht, d. haussler, m. kearns and l. g. valiant,",,"a general lower bound on the number of examples needed for learning,",,"in: proceedings of the first workshop on computational learning theory (morgan kaufmann,","san mateo, ca,",,1988),,,,139-154.
unknown,ehrenfeucht1988,"ehrenfeucht, a., haussler, d., kearns, m., and valiant, l.,",,"a general lower bound on the number of examples needed for learning,",,"proceedings of the 1988 workshop on computational learning theory,",,"morgan kaufmann,","1988,","p. 139-154.",,,
unknown,ehrenfeucht1988,"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.",,"a general lower bound on the number of examples needed for learning.",,"proc. of the 1988 workshop on computational learning theory,","san jose, 1988.","morgan kaufmann.",,,"in d. haussler and l. pitt, editors,",,
unknown,ehrenfeucht1988,"a. ehrenfeucht, d. haussler, m. kearns. l.g. valiant.",,"a general lower bound on the number of examples needed for learning.",,"33 proceedings of the 1988 workshop on computational learning theory,",,"morgan kaufmann publishers,","1988,","pp. 139-154.",,,
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.",82,"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-261,",,,
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns, and l.g. valiant.",82(3),"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-251,",,,
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.",82(3),"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-251,",,,
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.",82(3),"a general lower bound on the number of examples needed for learning.",,"inf. and computation,",,,1989,"247-266,",,,
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns, and l.g. valiant,",82(3),"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,(1989).,247-251.,,,
unknown,ehrenfeucht1989,"ehrenfeucht, a., haussler, d., kearns m., & valiant, l.g.","82,","a general lower bound on the number of examples needed for learning.",,"information and computation,",,,(1989).,247-261.,,,
unknown,ehrenfeucht1989,"ehrenfeucht, a., haussler, d., kearns, m. j., and valiant, l.",82,"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,247-261.,,,
unknown,ehrenfeucht1989,"ehrenfeucht, a., haussler, d., kearns, m., & valiant, l. g.","82,","a general lower bound on the number of examples needed for learning.",,"information and computation,",,,(1989).,247-261.,,,
unknown,ehrenfeucht1989,"ehrenfeucht, a., haussler, d., kearns, m., & valiant, l.g.",,"a general lower bound on the number of examples needed for learning.",,"information and computation 82,",,,(1989).,"pp. 247-261.",,,
unknown,ehrenfeucht1989,"ehrenfeucht, a., haussler, d., kearns, m., and valiant, l.",82,"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,(1989).,247-261.,,,
unknown,ehrenfeucht1989,"ehrenfeucht, a., haussler, d., kearns, m., and valiant, l.",82,"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,(1989).,267-284.,,,
unknown,ehrenfeucht1989,"ehrenfeucht, a., haussler, d., kearns, m., and valiant, l.",,"a general lower bound on the number of examples needed for learning.",,"information and control 82,",,,(1989).,,,,
unknown,ehrenfeucht1989,"ehrenfeucht, andrzej; haussler, david; kearns, michael; and valiant,",,"leslie 1989. a general lower bound on the number of examples needed for learning.",,"information and computation 82",,,,247-261.,,,
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.","82 (3) (1989),","a general lower bound on the number of examples needed for learning,",,"information and computation,",,,,247-261.,,,
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns, and l.g. valiant.",82(3),"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-251,",,,
unknown,ehrenfeucht1989,"andrzej ehrenfeucht, david haussler, michael kearns, and leslie valiant.",82,"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-261,",,,
unknown,ehrenfeucht1989,"andrzej ehrenfeucht, david haussler, michael kearns, and leslie valiant.",82(3),"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-251,",,,september
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns, and l.g. valiant.",,"a general lower bound on the number of examples needed for learning. information and computation,",,,"82(3):247251,",,1989,,,,
unknown,ehrenfeucht1989,"ehrenfeucht, a., haussler, d., kearns, m., and valiant, l.","vol. 82 (1989),","a general lower bound on the number of examples needed for learning.",,"information and computation,",,,,"pp. 247-261.",,,
unknown,ehrenfeucht1989,"andrzej ehrenfeucht, david haussler, michael kearns, and leslie valiant.",82(3),"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-251,",,,
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns. l.g. valiant.","82(3),","a general lower bound on the number of examples needed for learning.",,"information and computation,",,,"1989,","pp. 247-261.",,,
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.",82,"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-261,",,,
unknown,ehrenfeucht1989,"andrzej ehrenfeucht, david haussler, michael kearns, and leslie valiant.",82,"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-261,",,,
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.",82,"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-261,",,,
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.",82(3),"a general lower bound on the number of examples needed for learning.",,"information and control,",,,1989,"247-251,",,,
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. j. kearns and l. g. valiant.",82(3),"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-251,",,,
unknown,ehrenfeucht1989,"andrzej ehrenfeucht, david haussler, michael kearns, and leslie valiant.",82(3),"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-251,",,,september
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns, and l.g. valiant.",82(3),"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-251,",,,
unknown,ehrenfeucht1989,"andrzej ehrenfeucht, david haussler, michael kearns, and leslie valiant.",82(3),"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-251,",,,september
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. j. kearns, and l. valiant.",,"a general lower bound on the number of examples needed for learning. information and computation,",,,"82:247261,",,1989,,,,
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.",82,"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-261,",,,
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.",82(3),"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-251,",,,
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns. l.g. valiant.","82(3),","a general lower bound on the number of examples needed for learning.",,"information and computation,",,,"1989,","pp. 247-261.",,,
unknown,ehrenfeucht1989,"andrzej ehrenfeucht, david haussler, michael kearns, and leslie valiant.",82(3),"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-251,",,,september
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.",82,"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-261,",,,
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.",82(3),"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-251,",,,september
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns, and l.g. valiant.",82(3),"a general lower bound on the number of examples needed for learning.",,"information and computation,",,,1989,"247-251,",,,
unknown,ehrenfeucht1989,"a. ehrenfeucht, d. haussler, m. kearns, and l.g. valiant.",,"a general lower bound on the number of examples needed for learning. information and computation,",,,"82(3):247251,",,1989,,,,
unknown,feder1995,"m. feder, y. freund, and y. mansour.",,"optimal universal learning and prediction of probabilistic concepts.",,"in proc. of ieee information theory conference,",,"ieee,",1995,"page 233.",,,
unknown,feder1995,"m. feder, y. freund, and y. mansour.",,"optimal universal learning and prediction of probabilistic concepts.",,"in proc. of ieee information theory conference,",,"ieee,",1995,"page 233.",,,
unknown,feder1995,"m. feder, yoav freund and yishay mansour,",,"optimal universal learning and prediction of probabilistic concepts,",,,,,,,,"to appear in proc. ieee information theory conference, 1995; published by ieee. 13",
unknown,feder1995,"m. feder, y. freund, and y. mansour.",,"optimal universal learning and prediction of probabilistic concepts.",,"in proc. of ieee information theory conference,",,"ieee,",1995,"page 233.",,,
unknown,freund0000a,"yoav freund and robert e. schapire.",,"adaptive game playing using multiplicative weights. games and economic behavior,",,,,,,,,"(to appear).",
unknown,freund0000a,"yoav freund and robert e. schapire.",,"adaptive game playing using multiplicative weights. games and economic behavior,",,,,,,,,"(to appear).",
unknown,freund1995a,"yoav freund.",,"boosting a weak learning algorithm by majority.",,"in proceedings of the third annual workshop on computational learning theory,",,,1990,"pages 202-216,",,,august
unknown,freund1995a,"freund, y.",,"boosting a weak learning algorithm by majority,",,"in 'proceedings of the third annual workshop on computational learning theory',",,,"(1990),","pp. 202-216.",,"to appear in information and computation.",
unknown,freund1995a,"freund, y.",,"boosting a weak learning algorithm by majority,",,"in proceedings of the third annual workshop on computational learning theory,",,,"(1990),","pp. 202-216.",,"to appear in information and computation.",
unknown,freund1995a,"freund, y.",,"boosting a weak learning algorithm by majority,",,"in `proceedings of the third annual workshop on computational learning theory',",,,"(1990),","pp. 202-216.",,,
